Weight 1,Weight 2,Weight 3,Accuracy
0.1,0.1,0.8,0.9593533487297922
0.1,0.2,0.7,0.9639722863741339
0.1,0.30000000000000004,0.6,0.9681293302540416
0.1,0.4,0.5,0.9773672055427252
0.1,0.5,0.4,0.9815242494226328
0.1,0.6,0.30000000000000004,0.9727482678983834
0.1,0.7000000000000001,0.19999999999999996,0.9690531177829099
0.2,0.1,0.7,0.9630484988452656
0.2,0.2,0.6,0.9681293302540416
0.2,0.30000000000000004,0.5,0.9759815242494226
0.2,0.4,0.3999999999999999,0.979676674364896
0.2,0.5,0.30000000000000004,0.9810623556581987
0.2,0.6,0.19999999999999996,0.9727482678983834
0.30000000000000004,0.1,0.6,0.9681293302540416
0.30000000000000004,0.2,0.5,0.9745958429561201
0.30000000000000004,0.30000000000000004,0.3999999999999999,0.9764434180138568
0.30000000000000004,0.4,0.29999999999999993,0.9801385681293302
0.30000000000000004,0.5,0.19999999999999996,0.9810623556581987
0.4,0.1,0.5,0.9750577367205543
0.4,0.2,0.3999999999999999,0.9755196304849885
0.4,0.30000000000000004,0.29999999999999993,0.976905311778291
0.4,0.4,0.19999999999999996,0.979676674364896
0.5,0.1,0.4,0.9699769053117783
0.5,0.2,0.30000000000000004,0.971824480369515
0.5,0.30000000000000004,0.19999999999999996,0.9750577367205543
0.6,0.1,0.30000000000000004,0.9635103926096997
0.6,0.2,0.19999999999999996,0.9653579676674365
0.7000000000000001,0.1,0.19999999999999996,0.9625866050808314
