Weight 1,Weight 2,Weight 3,Accuracy
0.1,0.1,0.8,0.9664634146341463
0.1,0.2,0.7,0.9679878048780488
0.1,0.30000000000000004,0.6,0.9725609756097561
0.1,0.4,0.5,0.9771341463414634
0.1,0.5,0.4,0.9771341463414634
0.1,0.6,0.30000000000000004,0.9695121951219512
0.1,0.7000000000000001,0.19999999999999996,0.9664634146341463
0.2,0.1,0.7,0.9679878048780488
0.2,0.2,0.6,0.9725609756097561
0.2,0.30000000000000004,0.5,0.975609756097561
0.2,0.4,0.3999999999999999,0.9740853658536586
0.2,0.5,0.30000000000000004,0.9725609756097561
0.2,0.6,0.19999999999999996,0.9679878048780488
0.30000000000000004,0.1,0.6,0.9725609756097561
0.30000000000000004,0.2,0.5,0.975609756097561
0.30000000000000004,0.30000000000000004,0.3999999999999999,0.9740853658536586
0.30000000000000004,0.4,0.29999999999999993,0.9695121951219512
0.30000000000000004,0.5,0.19999999999999996,0.9710365853658537
0.4,0.1,0.5,0.9740853658536586
0.4,0.2,0.3999999999999999,0.9710365853658537
0.4,0.30000000000000004,0.29999999999999993,0.9695121951219512
0.4,0.4,0.19999999999999996,0.9695121951219512
0.5,0.1,0.4,0.9695121951219512
0.5,0.2,0.30000000000000004,0.9679878048780488
0.5,0.30000000000000004,0.19999999999999996,0.9679878048780488
0.6,0.1,0.30000000000000004,0.9664634146341463
0.6,0.2,0.19999999999999996,0.9664634146341463
0.7000000000000001,0.1,0.19999999999999996,0.9664634146341463
